id,label,type,suit,number,korean_name,upright_meaning,reversed_meaning,element,saju_correlation,astro_correlation,description,jung_archetype,dream_symbol,advice,timing_guidance
TM_cups_ace,컵에이스,tarot_minor,Cups,1,컵의에이스,새로운사랑/감정의시작/영적깨달음/축복,감정막힘/공허함/사랑거부/영적고갈,Water,임수계수일간-감정새시작,게자리0-10도,컵 에이스는 신성한 손이 내미는 성배. 새로운 사랑이나 깊은 감정의 시작. 영적 축복과 직관의 선물.,아니마원형-영혼의부름,성배/샘솟는물/연꽃,마음을 여세요. 새로운 사랑과 영감이 흘러들어옵니다.,초승달/금요일/물고기자리시즌
TM_cups_2,컵2,tarot_minor,Cups,2,컵의2,파트너십/사랑/결합/상호존중,불균형/이별/오해/관계갈등,Water,정재정관합-연인관계,게자리10-20도,컵 2는 두 사람이 잔을 주고받는 모습. 진정한 파트너십과 사랑의 결합. 상호 존중하는 관계.,결합원형-영혼의만남,연인/결혼/손잡음,진정한 파트너십을 위해 마음을 열어주세요. 주고받음의 균형이 중요합니다.,금요일/보름달/연인의날
TM_cups_3,컵3,tarot_minor,Cups,3,컵의3,축하/우정/기쁨/사교,과음/고립/외로움/관계피상,Water,비겁식신-친구모임,게자리20-30도,컵 3은 세 명이 잔을 들고 축하하는 장면. 우정과 기쁨의 순간. 좋은 친구들과의 모임.,영원한아이원형-순수한기쁨,파티/친구들/축배,친구들과 함께하세요. 기쁨은 나누면 배가 됩니다.,금요일/주말/축제시즌
TM_cups_4,컵4,tarot_minor,Cups,4,컵의4,무관심/권태/새기회거부/명상,행동/수용/새로운관점/깨어남,Water,편인운-내면침잠,게자리-전갈경계,컵 4는 나무 아래 팔짱 끼고 있는 모습. 주어진 것에 만족하지 못하고 새 기회를 외면. 내면 성찰 필요.,고아원형-소외감,닫힌문/외면하는사람,눈앞의 축복을 보지 못하고 있진 않나요? 새 시각으로 바라보세요.,하현달/수요일/정체기
TM_cups_5,컵5,tarot_minor,Cups,5,컵의5,상실/슬픔/후회/실망,회복/수용/앞으로/희망,Water,상관견관-감정적상실,전갈자리0-10도,컵 5는 엎어진 잔을 바라보며 슬퍼하는 모습. 상실의 슬픔을 느끼지만 뒤에 서있는 잔도 있음을 잊지 말것.,그림자원형-상실과애도,쏟아진물/깨진그릇/눈물,슬픔을 충분히 느끼세요. 하지만 남은 축복도 기억하세요.,그믐달/월요일/이별후시기
TM_cups_6,컵6,tarot_minor,Cups,6,컵의6,추억/향수/순수함/과거,현재집중/과거집착탈피/성장/전진,Water,인성운-어린시절기억,전갈자리10-20도,컵 6은 아이들이 꽃을 주고받는 순수한 장면. 행복했던 과거에 대한 향수. 순수함으로 돌아감.,영원한아이원형-잃어버린순수,어린시절집/옛친구/장난감,과거의 순수함이 당신을 치유할 수 있습니다. 잠시 추억에 머물러도 좋아요.,토요일/고향방문시기/추석
TM_cups_7,컵7,tarot_minor,Cups,7,컵의7,환상/선택/꿈/다양한가능성,현실직시/결정/명확화/환상깨짐,Water,도화살-환상과유혹,전갈자리20-30도,컵 7은 구름 속 다양한 이미지를 바라보는 모습. 많은 환상과 가능성 중에서 진짜를 선택해야 함.,마술사원형-선택의미로,구름속성/환상의성/신기루,환상과 현실을 구별하세요. 진정으로 원하는 것이 무엇인가요?,수요일/해왕성영향기/몽환적시기
TM_cups_8,컵8,tarot_minor,Cups,8,컵의8,떠남/포기/더높은것추구/여정,집착/두려움/체념/미완료,Water,역마운-감정적떠남,물고기자리0-10도,컵 8은 쌓인 잔을 뒤로하고 떠나는 모습. 익숙한 것을 떠나 더 의미있는 것을 찾아감.,탐험가원형-영적여정,뒤돌아떠남/달밤길/산길,더 깊은 의미를 찾아 떠날 용기가 필요합니다. 익숙함을 뒤로하세요.,그믐달/새벽/전환점시기
TM_cups_9,컵9,tarot_minor,Cups,9,컵의9,소원성취/만족/행복/풍요,불만족/탐욕/과욕/공허,Water,정재운-물질정서만족,물고기자리10-20도,컵 9는 아홉 개의 잔 앞에서 만족해하는 모습. 소원이 이루어지고 감정적으로 충족. 바라던 것을 얻음.,자기원형-충족된자아,풍성한테이블/미소/만족,당신의 소원이 이루어지고 있습니다. 감사하며 누리세요.,보름달/목요일/소원성취기
TM_cups_10,컵10,tarot_minor,Cups,10,컵의10,가정행복/완전한사랑/조화/축복,가정불화/깨진관계/불화/소외,Water,일지배우자궁-가정완성,물고기자리20-30도,컵 10은 무지개 아래 행복한 가족. 가정의 완전한 행복과 사랑의 성취. 감정적 완성.,돌봄자원형-완전한사랑,무지개/행복한가족/집,사랑하는 사람들과 함께하세요. 이것이 진정한 행복입니다.,일요일/보름달/가족기념일
TM_cups_page,컵시종,tarot_minor,Cups,11,컵의페이지,감성/직관/새로운감정/낭만,감정미숙/환상/비현실/상처,Water,식신-젊은감성,게자리전체,컵 페이지는 잔 속 물고기를 바라보는 소년. 감수성이 풍부하고 직관적. 새로운 감정의 소식.,아니마/아니무스-감정의메신저,물고기/편지/젊은연인,직관의 메시지에 귀 기울이세요. 감정의 새 소식이 옵니다.,초승달/금요일/새로운만남시기
TM_cups_knight,컵기사,tarot_minor,Cups,12,컵의나이트,낭만/제안/매력/이상주의,변덕/환상/비현실적사랑/실망,Water,상관-낭만적접근,전갈자리전체,컵 나이트는 천천히 말을 타고 오는 낭만적 기사. 사랑의 제안이나 감정적 초대를 가져옴.,연인원형-낭만적구애,백마탄왕자/프로포즈/장미,낭만적인 제안이 올 수 있습니다. 이상과 현실의 균형을 찾으세요.,금요일/상현달/연애운좋은시기
TM_cups_queen,컵여왕,tarot_minor,Cups,13,컵의퀸,공감/직관/모성/감정지혜,감정과잉/의존/감정조절실패/집착,Water,정인편인여성-감정지혜,물고기자리전체,컵 퀸은 바다가 조각된 왕좌의 여왕. 깊은 공감 능력과 직관을 가진 감정의 달인.,위대한어머니원형-감정적지혜,바다여왕/달/조개,내면의 직관을 믿으세요. 당신의 공감 능력이 타인을 치유합니다.,월요일/보름달/어머니의날
TM_cups_king,컵왕,tarot_minor,Cups,14,컵의킹,감정균형/외교/관용/예술,감정조작/변덕/냉정/불안정,Water,정관편관남성-감정통제,게자리전체,컵 킹은 물 위 왕좌의 왕. 감정을 통제하면서도 깊이 느끼는 성숙한 리더. 예술적 감각.,현자원형-감정적성숙,바다위왕좌/돌고래/예술품,감정을 느끼되 휘둘리지 마세요. 성숙한 감정 리더십을 발휘하세요.,목요일/물고기자리시즌/중재필요시
