id,label,type,sign,house,description
ASTRO_SIGN_Aquarius_HOUSE_H1,Aquarius/H1,astro_combo,Aquarius,H1,Aquarius 별자리와 H1 하우스의 결합 성향 노드.
ASTRO_SIGN_Aquarius_HOUSE_H10,Aquarius/H10,astro_combo,Aquarius,H10,Aquarius 별자리와 H10 하우스의 결합 성향 노드.
ASTRO_SIGN_Aquarius_HOUSE_H11,Aquarius/H11,astro_combo,Aquarius,H11,Aquarius 별자리와 H11 하우스의 결합 성향 노드.
ASTRO_SIGN_Aquarius_HOUSE_H12,Aquarius/H12,astro_combo,Aquarius,H12,Aquarius 별자리와 H12 하우스의 결합 성향 노드.
ASTRO_SIGN_Aquarius_HOUSE_H2,Aquarius/H2,astro_combo,Aquarius,H2,Aquarius 별자리와 H2 하우스의 결합 성향 노드.
ASTRO_SIGN_Aquarius_HOUSE_H3,Aquarius/H3,astro_combo,Aquarius,H3,Aquarius 별자리와 H3 하우스의 결합 성향 노드.
ASTRO_SIGN_Aquarius_HOUSE_H4,Aquarius/H4,astro_combo,Aquarius,H4,Aquarius 별자리와 H4 하우스의 결합 성향 노드.
ASTRO_SIGN_Aquarius_HOUSE_H5,Aquarius/H5,astro_combo,Aquarius,H5,Aquarius 별자리와 H5 하우스의 결합 성향 노드.
ASTRO_SIGN_Aquarius_HOUSE_H6,Aquarius/H6,astro_combo,Aquarius,H6,Aquarius 별자리와 H6 하우스의 결합 성향 노드.
ASTRO_SIGN_Aquarius_HOUSE_H7,Aquarius/H7,astro_combo,Aquarius,H7,Aquarius 별자리와 H7 하우스의 결합 성향 노드.
ASTRO_SIGN_Aquarius_HOUSE_H8,Aquarius/H8,astro_combo,Aquarius,H8,Aquarius 별자리와 H8 하우스의 결합 성향 노드.
ASTRO_SIGN_Aquarius_HOUSE_H9,Aquarius/H9,astro_combo,Aquarius,H9,Aquarius 별자리와 H9 하우스의 결합 성향 노드.
ASTRO_SIGN_Aries_HOUSE_H1,Aries/H1,astro_combo,Aries,H1,Aries 별자리와 H1 하우스의 결합 성향 노드.
ASTRO_SIGN_Aries_HOUSE_H10,Aries/H10,astro_combo,Aries,H10,Aries 별자리와 H10 하우스의 결합 성향 노드.
ASTRO_SIGN_Aries_HOUSE_H11,Aries/H11,astro_combo,Aries,H11,Aries 별자리와 H11 하우스의 결합 성향 노드.
ASTRO_SIGN_Aries_HOUSE_H12,Aries/H12,astro_combo,Aries,H12,Aries 별자리와 H12 하우스의 결합 성향 노드.
ASTRO_SIGN_Aries_HOUSE_H2,Aries/H2,astro_combo,Aries,H2,Aries 별자리와 H2 하우스의 결합 성향 노드.
ASTRO_SIGN_Aries_HOUSE_H3,Aries/H3,astro_combo,Aries,H3,Aries 별자리와 H3 하우스의 결합 성향 노드.
ASTRO_SIGN_Aries_HOUSE_H4,Aries/H4,astro_combo,Aries,H4,Aries 별자리와 H4 하우스의 결합 성향 노드.
ASTRO_SIGN_Aries_HOUSE_H5,Aries/H5,astro_combo,Aries,H5,Aries 별자리와 H5 하우스의 결합 성향 노드.
ASTRO_SIGN_Aries_HOUSE_H6,Aries/H6,astro_combo,Aries,H6,Aries 별자리와 H6 하우스의 결합 성향 노드.
ASTRO_SIGN_Aries_HOUSE_H7,Aries/H7,astro_combo,Aries,H7,Aries 별자리와 H7 하우스의 결합 성향 노드.
ASTRO_SIGN_Aries_HOUSE_H8,Aries/H8,astro_combo,Aries,H8,Aries 별자리와 H8 하우스의 결합 성향 노드.
ASTRO_SIGN_Aries_HOUSE_H9,Aries/H9,astro_combo,Aries,H9,Aries 별자리와 H9 하우스의 결합 성향 노드.
ASTRO_SIGN_Cancer_HOUSE_H1,Cancer/H1,astro_combo,Cancer,H1,Cancer 별자리와 H1 하우스의 결합 성향 노드.
ASTRO_SIGN_Cancer_HOUSE_H10,Cancer/H10,astro_combo,Cancer,H10,Cancer 별자리와 H10 하우스의 결합 성향 노드.
ASTRO_SIGN_Cancer_HOUSE_H11,Cancer/H11,astro_combo,Cancer,H11,Cancer 별자리와 H11 하우스의 결합 성향 노드.
ASTRO_SIGN_Cancer_HOUSE_H12,Cancer/H12,astro_combo,Cancer,H12,Cancer 별자리와 H12 하우스의 결합 성향 노드.
ASTRO_SIGN_Cancer_HOUSE_H2,Cancer/H2,astro_combo,Cancer,H2,Cancer 별자리와 H2 하우스의 결합 성향 노드.
ASTRO_SIGN_Cancer_HOUSE_H3,Cancer/H3,astro_combo,Cancer,H3,Cancer 별자리와 H3 하우스의 결합 성향 노드.
ASTRO_SIGN_Cancer_HOUSE_H4,Cancer/H4,astro_combo,Cancer,H4,Cancer 별자리와 H4 하우스의 결합 성향 노드.
ASTRO_SIGN_Cancer_HOUSE_H5,Cancer/H5,astro_combo,Cancer,H5,Cancer 별자리와 H5 하우스의 결합 성향 노드.
ASTRO_SIGN_Cancer_HOUSE_H6,Cancer/H6,astro_combo,Cancer,H6,Cancer 별자리와 H6 하우스의 결합 성향 노드.
ASTRO_SIGN_Cancer_HOUSE_H7,Cancer/H7,astro_combo,Cancer,H7,Cancer 별자리와 H7 하우스의 결합 성향 노드.
ASTRO_SIGN_Cancer_HOUSE_H8,Cancer/H8,astro_combo,Cancer,H8,Cancer 별자리와 H8 하우스의 결합 성향 노드.
ASTRO_SIGN_Cancer_HOUSE_H9,Cancer/H9,astro_combo,Cancer,H9,Cancer 별자리와 H9 하우스의 결합 성향 노드.
ASTRO_SIGN_Capricorn_HOUSE_H1,Capricorn/H1,astro_combo,Capricorn,H1,Capricorn 별자리와 H1 하우스의 결합 성향 노드.
ASTRO_SIGN_Capricorn_HOUSE_H10,Capricorn/H10,astro_combo,Capricorn,H10,Capricorn 별자리와 H10 하우스의 결합 성향 노드.
ASTRO_SIGN_Capricorn_HOUSE_H11,Capricorn/H11,astro_combo,Capricorn,H11,Capricorn 별자리와 H11 하우스의 결합 성향 노드.
ASTRO_SIGN_Capricorn_HOUSE_H12,Capricorn/H12,astro_combo,Capricorn,H12,Capricorn 별자리와 H12 하우스의 결합 성향 노드.
ASTRO_SIGN_Capricorn_HOUSE_H2,Capricorn/H2,astro_combo,Capricorn,H2,Capricorn 별자리와 H2 하우스의 결합 성향 노드.
ASTRO_SIGN_Capricorn_HOUSE_H3,Capricorn/H3,astro_combo,Capricorn,H3,Capricorn 별자리와 H3 하우스의 결합 성향 노드.
ASTRO_SIGN_Capricorn_HOUSE_H4,Capricorn/H4,astro_combo,Capricorn,H4,Capricorn 별자리와 H4 하우스의 결합 성향 노드.
ASTRO_SIGN_Capricorn_HOUSE_H5,Capricorn/H5,astro_combo,Capricorn,H5,Capricorn 별자리와 H5 하우스의 결합 성향 노드.
ASTRO_SIGN_Capricorn_HOUSE_H6,Capricorn/H6,astro_combo,Capricorn,H6,Capricorn 별자리와 H6 하우스의 결합 성향 노드.
ASTRO_SIGN_Capricorn_HOUSE_H7,Capricorn/H7,astro_combo,Capricorn,H7,Capricorn 별자리와 H7 하우스의 결합 성향 노드.
ASTRO_SIGN_Capricorn_HOUSE_H8,Capricorn/H8,astro_combo,Capricorn,H8,Capricorn 별자리와 H8 하우스의 결합 성향 노드.
ASTRO_SIGN_Capricorn_HOUSE_H9,Capricorn/H9,astro_combo,Capricorn,H9,Capricorn 별자리와 H9 하우스의 결합 성향 노드.
ASTRO_SIGN_Gemini_HOUSE_H1,Gemini/H1,astro_combo,Gemini,H1,Gemini 별자리와 H1 하우스의 결합 성향 노드.
ASTRO_SIGN_Gemini_HOUSE_H10,Gemini/H10,astro_combo,Gemini,H10,Gemini 별자리와 H10 하우스의 결합 성향 노드.
ASTRO_SIGN_Gemini_HOUSE_H11,Gemini/H11,astro_combo,Gemini,H11,Gemini 별자리와 H11 하우스의 결합 성향 노드.
ASTRO_SIGN_Gemini_HOUSE_H12,Gemini/H12,astro_combo,Gemini,H12,Gemini 별자리와 H12 하우스의 결합 성향 노드.
ASTRO_SIGN_Gemini_HOUSE_H2,Gemini/H2,astro_combo,Gemini,H2,Gemini 별자리와 H2 하우스의 결합 성향 노드.
ASTRO_SIGN_Gemini_HOUSE_H3,Gemini/H3,astro_combo,Gemini,H3,Gemini 별자리와 H3 하우스의 결합 성향 노드.
ASTRO_SIGN_Gemini_HOUSE_H4,Gemini/H4,astro_combo,Gemini,H4,Gemini 별자리와 H4 하우스의 결합 성향 노드.
ASTRO_SIGN_Gemini_HOUSE_H5,Gemini/H5,astro_combo,Gemini,H5,Gemini 별자리와 H5 하우스의 결합 성향 노드.
ASTRO_SIGN_Gemini_HOUSE_H6,Gemini/H6,astro_combo,Gemini,H6,Gemini 별자리와 H6 하우스의 결합 성향 노드.
ASTRO_SIGN_Gemini_HOUSE_H7,Gemini/H7,astro_combo,Gemini,H7,Gemini 별자리와 H7 하우스의 결합 성향 노드.
ASTRO_SIGN_Gemini_HOUSE_H8,Gemini/H8,astro_combo,Gemini,H8,Gemini 별자리와 H8 하우스의 결합 성향 노드.
ASTRO_SIGN_Gemini_HOUSE_H9,Gemini/H9,astro_combo,Gemini,H9,Gemini 별자리와 H9 하우스의 결합 성향 노드.
ASTRO_SIGN_Leo_HOUSE_H1,Leo/H1,astro_combo,Leo,H1,Leo 별자리와 H1 하우스의 결합 성향 노드.
ASTRO_SIGN_Leo_HOUSE_H10,Leo/H10,astro_combo,Leo,H10,Leo 별자리와 H10 하우스의 결합 성향 노드.
ASTRO_SIGN_Leo_HOUSE_H11,Leo/H11,astro_combo,Leo,H11,Leo 별자리와 H11 하우스의 결합 성향 노드.
ASTRO_SIGN_Leo_HOUSE_H12,Leo/H12,astro_combo,Leo,H12,Leo 별자리와 H12 하우스의 결합 성향 노드.
ASTRO_SIGN_Leo_HOUSE_H2,Leo/H2,astro_combo,Leo,H2,Leo 별자리와 H2 하우스의 결합 성향 노드.
ASTRO_SIGN_Leo_HOUSE_H3,Leo/H3,astro_combo,Leo,H3,Leo 별자리와 H3 하우스의 결합 성향 노드.
ASTRO_SIGN_Leo_HOUSE_H4,Leo/H4,astro_combo,Leo,H4,Leo 별자리와 H4 하우스의 결합 성향 노드.
ASTRO_SIGN_Leo_HOUSE_H5,Leo/H5,astro_combo,Leo,H5,Leo 별자리와 H5 하우스의 결합 성향 노드.
ASTRO_SIGN_Leo_HOUSE_H6,Leo/H6,astro_combo,Leo,H6,Leo 별자리와 H6 하우스의 결합 성향 노드.
ASTRO_SIGN_Leo_HOUSE_H7,Leo/H7,astro_combo,Leo,H7,Leo 별자리와 H7 하우스의 결합 성향 노드.
ASTRO_SIGN_Leo_HOUSE_H8,Leo/H8,astro_combo,Leo,H8,Leo 별자리와 H8 하우스의 결합 성향 노드.
ASTRO_SIGN_Leo_HOUSE_H9,Leo/H9,astro_combo,Leo,H9,Leo 별자리와 H9 하우스의 결합 성향 노드.
