src,dst,rel,desc
갑자,갑자,합,목-목합기운으로 우호관계·창조적 아이디어 발동.
갑자,을축,합,"새로운 인연 또는 프로젝트 결합, 사회 안정화."
갑자,병인,생,내면이 밝아지고 명예에 기회가 열린다.
갑자,정묘,생,내면이 밝아지고 명예에 기회가 열린다.
갑자,무진,극,"조율이 필요한 시기, 목이 토을 제어한다. 객관적 판단 요구."
갑자,기사,극,"목-토의 충돌로 현실점검 필요, 경험치가 성장한다."
갑자,경오,충,갑자와 경오 충돌. 명예 방향 수정의 전환점.
갑자,경오,형,"형세 재편의 시기, 감정관리 중요."
갑자,신미,충,목-금 대립으로 이동·변화 발생.
갑자,신미,귀인,도움 손길이 다가오며 관계 성과 향상.
갑자,신미,해,"피로·오해의 흐름, 대인관계에서 속도조절 필요."
갑자,임신,형,"규칙과 자유의 마찰, 진로에서 자기통제 필요."
갑자,임신,충,갑자와 임신 충돌. 관계 방향 수정의 전환점.
갑자,임신,해,"피로·오해의 흐름, 감정에서 속도조절 필요."
갑자,계유,형,"형세 재편의 시기, 감정관리 중요."
갑자,계유,충,목-수 대립으로 이동·변화 발생.
갑자,계유,해,"정서적 정리와 단절, 새 순환을 준비."
갑자,갑술,합,갑자와 갑술의 교류로 조화로운 변화. 명예에서 협력·이익 상승.
갑자,을해,합,"새로운 인연 또는 프로젝트 결합, 사회 안정화."
갑자,병자,생,에너지가 확장되며 사회에서 새로운 돌파구 등장.
갑자,정축,생,에너지가 확장되며 진로에서 새로운 돌파구 등장.
갑자,무인,극,"목-토의 충돌로 현실점검 필요, 경험치가 성장한다."
갑자,기묘,극,긴장 속에서 균형을 잡을 때. 사회 변동 예상.
갑자,경진,귀인,좋은 인연·정보가 열려 사회 안정.
갑자,경진,해,"정서적 정리와 단절, 새 순환을 준비."
갑자,신사,해,"피로·오해의 흐름, 진로에서 속도조절 필요."
갑자,신사,충,기존 구조가 흔들리지만 새로운 선택의 기회.
갑자,신사,형,갑자와 신사 사이의 내적 긴장. 심리적 피로 경계.
갑자,임오,형,"형세 재편의 시기, 감정관리 중요."
갑자,임오,충,목-수 대립으로 이동·변화 발생.
갑자,임오,해,갑자와 임오의 해(害)기운. 감정 노출과 정리의 시기.
갑자,계미,충,목-수 대립으로 이동·변화 발생.
갑자,계미,귀인,재정에 귀인의 조력 출현. 갑자-계미 상호보완 기운.
갑자,계미,형,갑자와 계미 사이의 내적 긴장. 심리적 피로 경계.
갑자,갑신,합,"새로운 인연 또는 프로젝트 결합, 명예 안정화."
갑자,을유,합,갑자와 을유의 교류로 조화로운 변화. 명예에서 협력·이익 상승.
갑자,병술,생,내면이 밝아지고 사회에 기회가 열린다.
갑자,정해,생,내면이 밝아지고 명예에 기회가 열린다.
갑자,무자,극,"조율이 필요한 시기, 목이 토을 제어한다. 객관적 판단 요구."
갑자,기축,극,"목-토의 충돌로 현실점검 필요, 경험치가 성장한다."
갑자,경인,귀인,도움 손길이 다가오며 명예 성과 향상.
갑자,경인,충,기존 구조가 흔들리지만 새로운 선택의 기회.
갑자,신묘,귀인,좋은 인연·정보가 열려 진로 안정.
갑자,신묘,충,갑자와 신묘 충돌. 직업 방향 수정의 전환점.
갑자,신묘,형,"형세 재편의 시기, 감정관리 중요."
갑자,임진,해,갑자와 임진의 해(害)기운. 감정 노출과 정리의 시기.
갑자,임진,충,목-수 대립으로 이동·변화 발생.
갑자,임진,귀인,감정에 귀인의 조력 출현. 갑자-임진 상호보완 기운.
갑자,계사,충,기존 구조가 흔들리지만 새로운 선택의 기회.
갑자,계사,귀인,재정에 귀인의 조력 출현. 갑자-계사 상호보완 기운.
갑자,갑오,합,갑자와 갑오의 교류로 조화로운 변화. 진로에서 협력·이익 상승.
갑자,을미,합,"새로운 인연 또는 프로젝트 결합, 명예 안정화."
갑자,병신,생,에너지가 확장되며 명예에서 새로운 돌파구 등장.
갑자,정유,생,에너지가 확장되며 진로에서 새로운 돌파구 등장.
갑자,무술,극,"목-토의 충돌로 현실점검 필요, 경험치가 성장한다."
갑자,기해,극,"조율이 필요한 시기, 목이 토을 제어한다. 객관적 판단 요구."
갑자,경자,충,갑자와 경자 충돌. 사회 방향 수정의 전환점.
갑자,경자,형,"규칙과 자유의 마찰, 직업에서 자기통제 필요."
갑자,경자,귀인,도움 손길이 다가오며 감정 성과 향상.
갑자,신축,충,기존 구조가 흔들리지만 새로운 선택의 기회.
갑자,신축,형,"규칙과 자유의 마찰, 직업에서 자기통제 필요."
갑자,신축,해,갑자와 신축의 해(害)기운. 감정 노출과 정리의 시기.
갑자,임인,귀인,좋은 인연·정보가 열려 명예 안정.
갑자,임인,충,갑자와 임인 충돌. 재정 방향 수정의 전환점.
갑자,임인,해,갑자와 임인의 해(害)기운. 감정 노출과 정리의 시기.
갑자,계묘,형,"규칙과 자유의 마찰, 진로에서 자기통제 필요."
갑자,계묘,충,목-수 대립으로 이동·변화 발생.
