id,label,type,category,description,origin,symptoms,dreams_symbols,saju_correlation,astro_correlation,tarot_parallel,healing_path,shadow_integration,famous_examples
JC_mother_pos_m,어머니콤플렉스(남성긍정),jung_complex,모성콤플렉스,"어머니와의 긍정적 유대로 인한 콤플렉스. 여성에 대한 이상화, 보호받고자 하는 욕구, 창의성과 감수성 발달.","어린 시절 어머니와의 안전한 애착 관계. 과보호 또는 특별한 사랑을 받은 경험.","이상적 여성상 추구, 예술적 감수성, 모성적 여성에게 끌림, 결정장애, 독립심 부족 가능성.","어머니/여신 등장, 보호받는 꿈, 자궁/물속 회귀, 따뜻한 집 꿈.",인성과다-어머니영향,달/게자리강조/4하우스,컵퀸/여황제,건강한 여성상 내면화 및 자립심 발달. 내면의 아니마와 대화.,어머니에 대한 이상화 인정하고 현실적 여성관계 형성. 자기 돌봄 능력 개발.,융/괴테/단테
JC_mother_neg_m,어머니콤플렉스(남성부정),jung_complex,모성콤플렉스,"어머니와의 부정적 경험으로 인한 콤플렉스. 여성에 대한 두려움이나 적대감, 친밀감 회피, 여성혐오 가능성.","어린 시절 어머니의 거부, 방치, 학대 또는 지배적 통제. 모성 결핍 경험.","여성 친밀감 회피, 여성 불신, 관계에서 거리두기, 통제욕, 돈후안 증후군 가능성.","무서운 어머니/마녀 등장, 질식/익사 꿈, 쫓기는 꿈, 버려지는 꿈.",편인과다-모성상처,달충/4하우스손상,탑/소드3,내면의 상처받은 아이 치유. 여성에 대한 두려움 직면. 안전한 여성관계 경험.,어머니에 대한 분노와 슬픔 인정. 내면 어머니 이미지 재구성.,히틀러/스탈린
JC_mother_f,어머니콤플렉스(여성),jung_complex,모성콤플렉스,"여성이 자신의 어머니 원형과 갈등하는 콤플렉스. 어머니와의 경쟁, 동일시 또는 반발.","어머니와의 경쟁적 관계, 어머니의 기대에 부응해야 하는 압박, 어머니 역할 거부 욕구.","어머니와 동일시 또는 정반대 추구, 모성 역할 갈등, 완벽한 어머니 강박 또는 모성 거부.","어머니와 싸우는 꿈, 임신/출산 꿈, 아이 잃어버리는 꿈, 어머니로 변하는 꿈.",인성충극-모녀갈등,달-금성긴장/4-10하우스축,컵퀸역방향/여황제역방향,자신만의 여성성 정의. 어머니와의 분리개별화. 내면 어머니 치유.,어머니에 대한 양가감정 인정. 자신만의 모성 방식 발견.,시몬드보부아르/버지니아울프
JC_father_pos_m,아버지콤플렉스(남성긍정),jung_complex,부성콤플렉스,"아버지와의 긍정적 관계로 인한 콤플렉스. 권위에 대한 존경, 성취 동기, 사회적 야망.","어린 시절 아버지의 지지와 인정. 아버지를 롤모델로 삼은 경험.","강한 성취욕, 권위 존중, 아버지처럼 되고 싶은 욕구, 아버지 기대 충족 압박.","아버지와 함께하는 꿈, 높은 곳 오르는 꿈, 왕/지도자 되는 꿈, 승리하는 꿈.",정관대운-아버지영향,태양/사자자리강조/10하우스,황제/펜타클킹,아버지 이상화에서 벗어나 자신만의 권위 확립. 내면의 왕 발견.,아버지에 대한 과도한 이상화 인정. 자신만의 성공 정의.,알렉산더대왕/케네디
JC_father_neg_m,아버지콤플렉스(남성부정),jung_complex,부성콤플렉스,"아버지와의 부정적 경험으로 인한 콤플렉스. 권위에 대한 반발, 아버지 부재로 인한 정체성 혼란.","아버지의 부재, 폭력, 무관심 또는 과도한 비판. 아버지로부터 인정받지 못한 경험.","권위에 대한 반발, 성공 두려움, 자기 파괴적 행동, 아버지처럼 되지 않으려는 노력.","아버지와 싸우는 꿈, 아버지에게 쫓기는 꿈, 아버지 찾는 꿈, 왕을 죽이는 꿈.",편관충극-부자갈등,태양손상/10하우스긴장,황제역방향/탑,내면의 상처받은 아들 치유. 건강한 남성 멘토 관계. 자기 권위 확립.,아버지에 대한 분노 표현. 내면 아버지 이미지 재구성. 자기 인정.,오바마/스티브잡스
JC_father_f,아버지콤플렉스(여성),jung_complex,부성콤플렉스,"여성이 아버지 원형과 갈등하는 콤플렉스. 남성에게서 아버지를 찾거나 아버지에 대한 반발.","아버지의 사랑에 대한 갈망, 아버지의 부재 또는 거부, 아버지의 딸로서의 특별한 위치.","나이 많은 남성에게 끌림, 남성에게서 아버지 역할 기대, 권위 있는 남성 추종 또는 반발.","아버지와의 관계 꿈, 연상 남성과의 로맨스 꿈, 보호받는 꿈, 아버지 구하는 꿈.",정관대운여성-아버지영향,태양-금성관계/7하우스,황제/펜타클킹,아버지 이상화에서 벗어나기. 동등한 파트너십 경험. 내면의 아니무스 발달.,아버지에 대한 의존 인정. 자기 권위와 힘 발견.,마릴린먼로/다이애나비
JC_power,권력콤플렉스,jung_complex,자아콤플렉스,"권력과 통제에 대한 과도한 집착. 타인을 지배하려는 욕구, 무력감 보상심리.","어린 시절 무력감 경험, 통제당한 경험, 권력을 가진 부모의 모델링.","타인 통제욕, 지위 집착, 경쟁심, 패배 공포, 약자에 대한 경멸 또는 착취.","왕/독재자 되는 꿈, 전쟁/정복 꿈, 높은 곳에서 내려다보는 꿈, 무기 꿈.",편관과다-권력지향,명왕성강조/전갈자리/8하우스,황제/힘,건강한 영향력 행사 학습. 협력과 공유 경험. 내면의 무력감 치유.,권력욕 뒤의 두려움 인정. 취약성 수용. 섬김의 리더십 발견.,나폴레옹/스티브잡스/마키아벨리
JC_inferiority,열등감콤플렉스,jung_complex,자아콤플렉스,"자신이 타인보다 못하다는 만성적 느낌. 과잉보상으로 우월감 표출 가능.","어린 시절 비교와 비판, 실패 경험, 형제자매나 또래와의 부정적 비교.","자기비하, 타인과 끊임없는 비교, 질투, 과잉보상(허세), 실패 공포, 회피.","시험 실패 꿈, 뒤처지는 꿈, 벌거벗은 채 있는 꿈, 작아지는 꿈.",비겁무력-자존감부족,토성강조/12하우스/키론,달역방향/펜타클5,실제 능력 인정과 개발. 자기 비교 대신 자기 성장. 자기 수용.,열등감 인정하고 그것이 자기 가치를 결정하지 않음을 깨달음.,아들러본인/링컨/간디
JC_savior,구원자콤플렉스,jung_complex,역할콤플렉스,"타인을 구해야 한다는 강박적 욕구. 자기 희생과 과도한 책임감. 메시아 환상.","어린 시절 부모나 가족을 돌봐야 했던 경험. 구원을 통해 사랑받은 경험.","과도한 조력, 경계 부재, 자기 희생, 구원 대상 없으면 공허함, 상대 의존성 조장.","사람들 구하는 꿈, 영웅 되는 꿈, 희생하는 꿈, 십자가 지는 꿈.",정인과다-과잉돌봄,해왕성강조/12하우스/물고기자리,별/교황,건강한 경계 설정. 자기 돌봄 우선. 상대의 자립 존중.,구원 욕구 뒤의 자기 가치감 탐색. 자신도 도움받을 자격 있음 인정.,마더테레사/간호사번아웃
JC_victim,희생자콤플렉스,jung_complex,역할콤플렉스,"자신이 항상 피해자라는 만성적 인식. 타인이나 환경 탓, 무력감과 원망.","어린 시절 실제 피해 경험, 피해자 역할로 관심이나 동정을 받은 경험.","지속적 불평, 책임 전가, 변화 시도 없이 불행 호소, 동정 구하기, 무력한 태도.","공격당하는 꿈, 쫓기는 꿈, 갇힌 꿈, 무력하게 당하는 꿈.",상관과다-피해의식,키론손상/12하우스/해왕성,소드10역방향/달역방향,자기 힘 인정. 선택과 책임 자각. 과거 트라우마 치유.,피해자 정체성에서 생존자 정체성으로. 자기 힘 되찾기.,공의존자/학습된무력감
