id,source,target,relation,description
XALIAS_001fe72f04,SIGN_pisces,Pisces,mentions,SIGN_pisces -> Pisces (mentions)
XALIAS_004299496a,HEX_47_곤,HEX_47,alias_of,HEX_47_곤 -> HEX_47 alias
XALIAS_01c2a23cd6,JIJI_신,BR_신,alias_of,JIJI_신 -> BR_신 alias
XALIAS_01c8d6ac16,saju_yongsin,YS_용신,alias_of,saju_yongsin -> YS_용신 alias
XALIAS_01cfa6f153,NM_life_path_8,NUM_8,alias_of,NM_life_path_8 -> NUM_8 alias
XALIAS_02b0ca8832,DS_호수,DS_nature_lake,alias_of,DS_호수 -> DS_nature_lake alias
XALIAS_03318adc9e,B_H11,H11,mentions,B_H11 -> H11 (mentions)
XALIAS_037a541c5b,SAJU_SIPSIN_정관,SS_정관,mentions,SAJU_SIPSIN_정관 -> SS_정관 (mentions)
XALIAS_03a878847c,planet_neptune,Neptune,mentions,planet_neptune -> Neptune (mentions)
XALIAS_0438aae379,moon_capricorn,Moon,mentions,moon_capricorn -> Moon (mentions)
XALIAS_044d5e1507,SAJU_HIDDEN_신,ST_신,mentions,SAJU_HIDDEN_신 -> ST_신 (mentions)
XALIAS_04cbe907e2,HEX_44_구,HEX_44,alias_of,HEX_44_구 -> HEX_44 alias
XALIAS_0608fbf5d2,HOUSE_12,H12,alias_of,HOUSE_12 -> H12 alias
XALIAS_0619273548,SR_Uranus,Uranus,mentions,SR_Uranus -> Uranus (mentions)
XALIAS_070359df0a,SP_Moon,Moon,mentions,SP_Moon -> Moon (mentions)
XALIAS_079aa4efa5,A_Moon,Moon,alias_of,A_Moon -> Moon alias
XALIAS_0838c73964,saju_geokguk_pyeoningyeok,TS_saju,mentions,saju_geokguk_pyeoningyeok -> TS_saju (mentions)
XALIAS_0841c985c7,AS_7th_house_saturn,H7,mentions,AS_7th_house_saturn -> H7 (mentions)
XALIAS_08583d5a21,ICHING_16,HEX_16,alias_of,ICHING_16 -> HEX_16 alias
XALIAS_08803ef5d1,A_Saturn,Saturn,mentions,A_Saturn -> Saturn (mentions)
XALIAS_08c7a0937a,HEX_60_절,TS_절,mentions,HEX_60_절 -> TS_절 (mentions)
XALIAS_092d494bd7,BR_오자,BR_자,mentions,BR_오자 -> BR_자 (mentions)
XALIAS_09600a0a23,SIGN_aries,Aries,alias_of,SIGN_aries -> Aries alias
XALIAS_09733468fe,dream_symbol_naked,TS_dream,mentions,dream_symbol_naked -> TS_dream (mentions)
XALIAS_0987db9063,B_Mars,Mars,alias_of,B_Mars -> Mars alias
XALIAS_09f92d9080,HEX_01_건,HEX_01,alias_of,HEX_01_건 -> HEX_01 alias
XALIAS_09f9cf44ac,B_H7,H7,mentions,B_H7 -> H7 (mentions)
XALIAS_0a2845f269,moon_libra,Libra,mentions,moon_libra -> Libra (mentions)
XALIAS_0a6d434d43,SR_Mars,Mars,mentions,SR_Mars -> Mars (mentions)
XALIAS_0ab87629de,HEX_39_건,HEX_39,alias_of,HEX_39_건 -> HEX_39 alias
XALIAS_0b2bfc2b5b,SAJU_SIBSIN_편관,SS_편관,alias_of,SAJU_SIBSIN_편관 -> SS_편관 alias
XALIAS_0b4f2d3c2a,A_Uranus,Uranus,mentions,A_Uranus -> Uranus (mentions)
XALIAS_0c0370fe6e,HEX_42_익,HEX_42,alias_of,HEX_42_익 -> HEX_42 alias
XALIAS_0c87a5cd5e,AS_neptune_sun,Sun,mentions,AS_neptune_sun -> Sun (mentions)
XALIAS_0c9e00548f,dream_symbol_water,TS_dream,mentions,dream_symbol_water -> TS_dream (mentions)
XALIAS_0cbd6dd20f,SAJU_CONCEPT_기신,YS_기신,mentions,SAJU_CONCEPT_기신 -> YS_기신 (mentions)
XALIAS_0cd65ce08e,HEX_11_태,TS_태,mentions,HEX_11_태 -> TS_태 (mentions)
XALIAS_0ce8b7014b,saju_ilgan_eul,ST_을,alias_of,saju_ilgan_eul -> ST_을 alias
XALIAS_0cec0b8d85,AS_saturn_sun,Saturn,mentions,AS_saturn_sun -> Saturn (mentions)
XALIAS_0d0e62003d,B_Pluto,Pluto,mentions,B_Pluto -> Pluto (mentions)
XALIAS_0d349ec087,TG_상관,SS_상관,mentions,TG_상관 -> SS_상관 (mentions)
XALIAS_0db13ebbe2,B_H12,H12,alias_of,B_H12 -> H12 alias
XALIAS_0e6de9551a,B_Moon,Moon,mentions,B_Moon -> Moon (mentions)
