id,source,target,relation,description
REL_Sun_Aries,Sun,Aries,위치,"Sun in Aries: Aries(Fire,Cardinal)의 기질로 Sun가 표현된다 → 도전·선도·열정"
REL_Sun_Taurus,Sun,Taurus,위치,"Sun in Taurus: Taurus(Earth,Fixed)의 기질로 Sun가 표현된다 → 안정·소유·인내"
REL_Sun_Gemini,Sun,Gemini,위치,"Sun in Gemini: Gemini(Air,Mutable)의 기질로 Sun가 표현된다 → 소통·호기심·지성"
REL_Sun_Cancer,Sun,Cancer,위치,"Sun in Cancer: Cancer(Water,Cardinal)의 기질로 Sun가 표현된다 → 보호·감정·가정"
REL_Sun_Leo,Sun,Leo,위치,"Sun in Leo: Leo(Fire,Fixed)의 기질로 Sun가 표현된다 → 표현·창의·리더십"
REL_Sun_Virgo,Sun,Virgo,위치,"Sun in Virgo: Virgo(Earth,Mutable)의 기질로 Sun가 표현된다 → 분석·실용·봉사"
REL_Sun_Libra,Sun,Libra,위치,"Sun in Libra: Libra(Air,Cardinal)의 기질로 Sun가 표현된다 → 조화·관계·균형"
REL_Sun_Scorpio,Sun,Scorpio,위치,"Sun in Scorpio: Scorpio(Water,Fixed)의 기질로 Sun가 표현된다 → 깊이·집착·변형"
REL_Sun_Sagittarius,Sun,Sagittarius,위치,"Sun in Sagittarius: Sagittarius(Fire,Mutable)의 기질로 Sun가 표현된다 → 탐험·철학·낙관"
REL_Sun_Capricorn,Sun,Capricorn,위치,"Sun in Capricorn: Capricorn(Earth,Cardinal)의 기질로 Sun가 표현된다 → 책임·성취·현실"
REL_Sun_Aquarius,Sun,Aquarius,위치,"Sun in Aquarius: Aquarius(Air,Fixed)의 기질로 Sun가 표현된다 → 혁신·이상·인도주의"
REL_Sun_Pisces,Sun,Pisces,위치,"Sun in Pisces: Pisces(Water,Mutable)의 기질로 Sun가 표현된다 → 연민·창조·영감"
REL_Moon_Aries,Moon,Aries,위치,"Moon in Aries: Aries(Fire,Cardinal)의 기질로 Moon가 표현된다 → 도전·선도·열정"
REL_Moon_Taurus,Moon,Taurus,위치,"Moon in Taurus: Taurus(Earth,Fixed)의 기질로 Moon가 표현된다 → 안정·소유·인내"
REL_Moon_Gemini,Moon,Gemini,위치,"Moon in Gemini: Gemini(Air,Mutable)의 기질로 Moon가 표현된다 → 소통·호기심·지성"
REL_Moon_Cancer,Moon,Cancer,위치,"Moon in Cancer: Cancer(Water,Cardinal)의 기질로 Moon가 표현된다 → 보호·감정·가정"
REL_Moon_Leo,Moon,Leo,위치,"Moon in Leo: Leo(Fire,Fixed)의 기질로 Moon가 표현된다 → 표현·창의·리더십"
