id,label,description,type,source
BR_자오충,BR_자오충,자수와 오화의 충돌. 물과 불의 대립. 급격한 변화와 충돌의 에너지.,branch_relation,
BR_축미충,BR_축미충,축토와 미토의 충돌. 습한 땅과 마른 땅의 대립. 토끼리의 충은 변화가 느림.,branch_relation,
BR_인신충,BR_인신충,인목과 신금의 충돌. 나무와 쇠의 대립. 가장 강렬한 충 중 하나.,branch_relation,
BR_묘유충,BR_묘유충,묘목과 유금의 충돌. 꽃과 가위의 대립. 예술과 현실의 충돌.,branch_relation,
BR_진술충,BR_진술충,진토와 술토의 충돌. 용과 개의 대립. 창고가 열리는 상.,branch_relation,
BR_사해충,BR_사해충,사화와 해수의 충돌. 뱀과 돼지의 대립. 변화와 안정의 대립.,branch_relation,
BR_삼합화,BR_삼합화,세 지지가 모여 하나의 오행을 이룸. 강력한 결합의 에너지.,branch_relation,
BR_육합,BR_육합,두 지지가 만나 결합. 화합과 조화의 에너지.,branch_relation,
BR_형,BR_형,지지끼리의 형벌. 같은 성질끼리의 충돌로 인한 고통.,branch_relation,
BR_파,BR_파,지지의 파괴. 기존 것이 깨지는 상.,branch_relation,
BR_해,BR_해,지지의 해침. 은근한 손상과 배신.,branch_relation,
BR_원진,BR_원진,서로 미워하는 관계. 가까울수록 힘든 인연.,branch_relation,
BR_귀문,BR_귀문,귀신이 드나드는 문. 영적 감각 예민.,branch_relation,
BR_공망,BR_공망,빈 공간. 해당 지지가 비어있는 상.,branch_relation,
