id,label,type,aspect_type,planet1,planet2,description,attraction_level,challenge_level,longevity,sexual_chemistry,emotional_depth,growth_potential,advice
SYN_001,남성태양 합 여성달,Sun-Moon,conjunct,Sun_M,Moon_F,"태양과 달의 합(0도)은 시너스트리에서 가장 강력한 궁합 요소 중 하나입니다. 남성의 태양이 여성의 달과 합을 이루면, 남성의 의식적 자아와 여성의 감정적 본능이 자연스럽게 하나가 됩니다. 여성은 남성 곁에서 정서적 안정감을 느끼며, 남성은 여성이 자신의 본질을 깊이 이해해준다고 느낍니다. 전통적으로 결혼 궁합에서 가장 이상적인 배치로, 두 사람이 '원래 한 쌍인 것 같다'는 느낌을 강하게 줍니다. 서로에게 익숙하고 편안한 에너지가 흐르며, 일상적 생활 리듬이 자연스럽게 맞아떑니다. 태양이 빛을 비추면 달이 그 빛을 반사하듯, 두 사람은 서로를 통해 완성감을 느낍니다.",95,15,95,80,95,85,"이 관계는 천생연분의 에너지를 지닙니다. 너무 편안한 나머지 서로를 당연하게 여기지 않도록 감사의 표현을 습관화하세요. 일상의 작은 배려가 이 관계를 영원히 빛나게 합니다."
SYN_002,여성태양 합 남성달,Sun-Moon,conjunct,Sun_F,Moon_M,"여성의 태양이 남성의 달과 합을 이루면, 전통적 성역할이 유연하게 교차하는 독특한 역동이 생깁니다. 여성이 관계의 방향을 이끌고 남성이 정서적으로 수용하는 패턴이 자연스럽게 형성됩니다. 남성은 여성의 강한 자아에 매료되며, 여성은 남성의 감수성과 돌봄에 안심합니다. 현대적 관계에서 특히 조화로운 배치이며, 두 사람 모두 전통적 틀에 얽매이지 않는 유연한 파트너십을 구축할 수 있습니다. 남성의 달이 여성의 태양 빛을 흡수하면서 감정적으로 충만해지고, 여성은 자신의 비전을 이해하고 지지해주는 파트너에게 깊은 신뢰를 느낍니다.",90,20,90,75,92,88,"이 관계에서는 성역할에 대한 사회적 기대를 내려놓는 것이 중요합니다. 서로의 고유한 에너지를 존중하고, 각자의 강점이 빛나도록 지지하세요. 유연한 역할 분담이 이 관계를 더욱 강하게 만듭니다."
SYN_003,태양 트라인 달,Sun-Moon,trine,Sun,Moon,"태양과 달의 트라인(120도)은 자연스러운 조화와 상호 지지의 흐름을 만듭니다. 합보다 약간 거리감이 있지만, 그 거리가 오히려 건강한 개별성을 유지하면서도 깊은 유대감을 형성합니다. 서로의 차이를 존중하면서도 근본적인 가치관과 생활 리듬이 조화롭습니다. 갈등이 생겨도 자연스럽게 해소되는 흐름이 있으며, 두 사람이 함께 있으면 편안하면서도 서로를 성장시키는 긍정적 에너지가 순환합니다. 장기적 관계에서 지속적인 만족감을 주는 안정적인 배치입니다.",85,10,93,72,88,82,"이 관계의 자연스러운 조화를 당연하게 여기지 마세요. 편안함이 무관심으로 변하지 않도록 의식적으로 새로운 경험을 함께 하고, 서로에 대한 호기심을 유지하세요."
SYN_004,태양 스퀘어 달,Sun-Moon,square,Sun,Moon,"태양과 달의 스퀘어(90도)는 강한 끌림과 동시에 지속적인 긴장을 만들어냅니다. 의식적 자아와 감정적 본능이 충돌하여 서로를 이해하면서도 근본적으로 다른 방식으로 세상을 경험합니다. 한 사람이 이성적 접근을 원할 때 다른 사람은 감정적 반응을 보이며, 이 불일치가 반복적 갈등의 원인이 됩니다. 그러나 이 긴장감이 역설적으로 강한 자극과 끌림을 유지시킵니다. 서로를 통해 자신의 미숙한 면을 보게 되며, 성장을 강제하는 촉매 역할을 합니다. 도전적이지만 진지하게 임하면 가장 많은 성장을 이끌어내는 배치입니다.",75,70,60,78,65,92,"이 관계에서 갈등을 피하지 마세요. 서로의 차이를 이해하려는 노력이 엄청난 개인적 성장으로 이어집니다. 비폭력대화(NVC) 기법을 배우고, 각자의 감정적 필요를 명확히 표현하는 연습을 하세요."
SYN_005,태양 오포지션 달,Sun-Moon,opposition,Sun,Moon,"태양과 달의 오포지션(180도)은 자석의 양극처럼 강렬한 끌림을 만들어냅니다. 보름달의 에너지로, 서로가 상대방의 부족한 부분을 완벽히 채워주는 느낌을 줍니다. 처음에는 '나의 반쪽을 찾았다'는 강렬한 매력이 작동하지만, 시간이 지나면 서로의 근본적 차이가 부각됩니다. 한 사람의 의식적 목표와 다른 사람의 감정적 필요가 정반대 방향을 가리킬 때 줄다리기가 발생합니다. 그러나 이 긴장을 균형으로 승화시키면 서로를 거울삼아 완전한 인간으로 성장하는 놀라운 파트너십이 됩니다.",88,55,70,82,80,90,"상대방을 '나의 반쪽'이 아닌 '완전한 개인'으로 존중하세요. 투사(projection)를 멈추고 상대의 있는 그대로를 사랑하는 연습을 하면, 이 관계는 영혼을 깊이 성숙시키는 거울이 됩니다."
SYN_006,태양 섹스타일 달,Sun-Moon,sextile,Sun,Moon,"태양과 달의 섹스타일(60도)은 부드러운 기회의 에너지를 만듭니다. 자연스러운 호감과 우호적인 교류가 기본이며, 노력을 기울이면 매우 조화로운 관계로 발전시킬 수 있습니다. 트라인만큼 자동적이지는 않지만, 의식적으로 관계를 가꾸려는 의지가 있을 때 아름다운 성장의 파트너십이 됩니다. 서로의 세계에 대한 건강한 호기심이 있으며, 지적으로나 감정적으로 자극을 주고받습니다. 우정에서 사랑으로 자연스럽게 발전하는 케이스가 많으며, 안정적이면서도 지루하지 않은 균형을 갖춥니다.",78,20,82,68,78,80,"이 관계의 가능성을 최대로 꽃피우려면 의식적인 노력이 필요합니다. 함께 새로운 것을 배우고, 서로의 세계를 탐험하는 데이트를 자주 하세요. 이 관계는 가꾸면 가꿀수록 아름다워집니다."
SYN_007,남성금성 합 여성화성,Venus-Mars,conjunct,Venus_M,Mars_F,"남성의 금성이 여성의 화성과 합을 이루면, 폭발적인 성적 끌림과 열정이 발생합니다. 남성이 추구하는 이상적 여성상과 여성의 본능적 행동 에너지가 정확히 맞물리며, 첫 만남에서부터 전기가 흐르는 듯한 강렬한 인력이 작동합니다. 여성의 적극적이고 주도적인 에너지가 남성의 미적 감각과 사랑의 스타일을 강하게 자극합니다. 침실에서의 화학 작용이 매우 강력하며, 육체적 친밀감이 관계의 핵심 동력이 됩니다. 이 배치는 관계 초기의 열정이 매우 강하지만, 그 열정을 정서적 유대로 발전시키는 것이 장기적 성공의 열쇠입니다.",98,35,65,98,60,70,"초기의 강렬한 육체적 끌림을 넘어 정서적 유대와 지적 교류를 발전시키세요. 성적 에너지를 창의적 협업이나 공동 프로젝트로 승화시키면 관계가 더욱 풍요로워집니다."
SYN_008,여성금성 합 남성화성,Venus-Mars,conjunct,Venus_F,Mars_M,"여성의 금성이 남성의 화성과 합을 이루면, 가장 전통적이고 강렬한 남녀 간의 자기 인력이 작동합니다. 남성은 여성에게 본능적으로 끌려 적극적으로 추구하며, 여성은 남성의 남성성에 강하게 매료됩니다. 구애와 추구의 역동이 자연스럽게 형성되어 로맨틱한 관계의 전형을 보여줍니다. 성적 화학 반응이 매우 강하며, 두 사람 사이의 에너지가 눈에 보일 정도로 뜨겁습니다. 화성의 능동적 추구와 금성의 매혹적 수용이 완벽한 춤을 추듯 조화를 이루며, 원초적 남녀 간의 끌림의 원형을 보여주는 배치입니다.",97,30,68,99,62,65,"열정의 불꽃이 영원하지 않음을 인식하고, 관계의 기반을 다양화하세요. 함께 요리하기, 여행, 지적 대화 등 성적 친밀감 외의 유대를 다양하게 발전시키는 것이 장기적 행복의 비결입니다."
SYN_009,금성 트라인 화성,Venus-Mars,trine,Venus,Mars,"금성과 화성의 트라인(120도)은 자연스럽고 건강한 성적 끌림과 로맨틱 조화를 만듭니다. 합의 폭발적 강렬함은 없지만, 편안하고 지속적인 열정의 흐름이 있습니다. 서로의 사랑 표현 방식과 성적 리듬이 자연스럽게 맞으며, 침실에서나 일상에서나 부드러운 화학 반응이 지속됩니다. 갈등 없이 즐거운 교류가 이루어지며, 신체적 접촉이 자연스럽고 따뜻합니다. 관계의 로맨틱한 면이 시간이 지나도 유지되는 안정적 배치이며, 서로에게 매력을 느끼면서도 존중하는 건강한 열정을 보여줍니다.",85,12,88,85,75,72,"이 자연스러운 조화를 감사히 여기면서도 관계를 위한 의식적 노력을 게을리하지 마세요. 서프라이즈와 새로운 시도로 관계에 신선함을 더하면 이 좋은 에너지가 더욱 오래 지속됩니다."
SYN_010,금성 스퀘어 화성,Venus-Mars,square,Venus,Mars,"금성과 화성의 스퀘어(90도)는 강렬한 성적 긴장과 도전적인 열정을 만들어냅니다. 끌림은 매우 강하지만 그 방식이 쉽지 않습니다. 한 사람이 원하는 사랑의 방식과 다른 사람의 욕구 표현이 어긋나며, 이 불일치가 역설적으로 더 강한 욕망을 자극합니다. '갖고 싶지만 다루기 어려운' 매력이 관계를 복잡하게 만들며, 질투와 소유욕이 강하게 자극될 수 있습니다. 성적 긴장감은 매우 높지만 그것이 항상 만족스러운 해소로 이어지지는 않습니다. 서로의 욕구를 솔직하게 소통하면 매우 열정적이고 역동적인 관계가 됩니다.",90,65,55,92,55,78,"성적 긴장과 갈등을 관계 파괴의 신호가 아닌 소통의 기회로 삼으세요. 서로의 욕구와 경계를 솔직하게 대화하고, 갈등 후의 화해 과정을 통해 더 깊은 이해에 도달하세요."
SYN_011,금성 오포지션 화성,Venus-Mars,opposition,Venus,Mars,"금성과 화성의 오포지션(180도)은 자석의 양극처럼 저항할 수 없는 성적 끌림을 만듭니다. 사랑(금성)과 욕망(화성)이 정면으로 마주하여 두 사람 사이에 강력한 전기적 긴장이 흐릅니다. 눈이 마주치는 순간부터 둘 사이에 무언가가 빠르게 작동하며, 이 에너지는 주변 사람들도 감지할 정도로 강렬합니다. 밀고 당기기의 역동이 관계의 핵심이며, 한 사람이 다가가면 다른 사람이 물러서는 줄다리기가 반복됩니다. 그러나 서로가 균형점을 찾으면 매우 열정적이면서도 보완적인 파트너십이 형성됩니다.",93,50,62,95,65,75,"밀당의 패턴을 인식하고 의식적으로 균형을 찾으세요. 상대가 물러설 때 추구하지 말고 공간을 주며, 다가올 때 진심으로 맞이하세요. 이 관계의 강력한 자력을 건강한 방향으로 활용하면 놀라운 열정과 사랑이 공존합니다."
SYN_012,금성 섹스타일 화성,Venus-Mars,sextile,Venus,Mars,"금성과 화성의 섹스타일(60도)은 부드럽고 유쾌한 로맨틱 에너지를 만듭니다. 자연스러운 호감과 가벼운 플러팅이 관계의 기본 톤이며, 서로에게 매력을 느끼면서도 부담 없는 즐거운 교류가 이루어집니다. 성적 화학 반응은 적당히 활성화되어 있으며, 노력을 기울이면 매우 만족스러운 수준으로 발전시킬 수 있습니다. 우정과 로맨스의 경계에서 자연스럽게 사랑으로 발전하는 케이스가 많으며, 서로를 즐겁게 하려는 의지가 관계를 지속적으로 활기차게 만듭니다.",78,15,80,75,70,72,"이 관계의 가벼운 즐거움을 유지하면서도 깊이를 더해가세요. 함께 웃고 놀면서도 진지한 대화와 감정적 나눔의 시간을 의식적으로 만들면 가볍고도 깊은 이상적인 관계가 됩니다."
SYN_013,달 합 금성,Moon-Venus,conjunct,Moon,Venus,"달과 금성의 합(0도)은 시너스트리에서 가장 부드럽고 사랑스러운 배치 중 하나입니다. 감정(달)과 사랑(금성)이 하나로 녹아들어, 서로에게 무조건적인 애정과 정서적 따뜻함을 줍니다. 함께 있으면 따뜻한 담요에 감싸인 것처럼 안전하고 편안하며, 서로를 돌보고 아끼는 것이 가장 자연스러운 표현 방식입니다. 미적 감각과 생활 스타일이 잘 맞으며, 함께 꾸미는 가정이 아름답고 조화로운 공간이 됩니다. 음식 취향부터 인테리어 감각까지 일상의 미적 기준이 일치하여 함께 생활하는 것이 즐겁습니다.",88,8,92,70,95,70,"이 관계의 따뜻함과 안전감에 감사하면서도 각자의 독립적 성장을 소홀히 하지 마세요. 너무 밀착된 관계는 성장을 제한할 수 있으므로, 개별적인 취미와 사회적 관계도 건강하게 유지하세요."
SYN_014,달 트라인 금성,Moon-Venus,trine,Moon,Venus,"달과 금성의 트라인(120도)은 자연스러운 정서적 조화와 미적 공감을 만듭니다. 서로의 감정적 필요를 본능적으로 이해하며, 사랑을 표현하는 방식이 자연스럽게 맞습니다. 합보다 약간의 거리가 있어 건강한 개별성이 유지되면서도 깊은 정서적 유대가 있습니다. 예술이나 음악, 자연 속에서 함께할 때 특히 조화로우며, 아름다운 것을 함께 감상하고 나누는 것이 관계의 큰 기쁨이 됩니다. 갈등이 적고 화해가 빠른 온화한 관계를 형성합니다.",82,10,90,68,90,72,"이 부드러운 조화를 당연하게 여기지 말고, 서로에게 감사와 애정을 자주 표현하세요. 가끔은 편안한 일상에서 벗어나 특별한 경험을 함께 하며 관계에 새로운 에너지를 불어넣으세요."
SYN_015,달 스퀘어 금성,Moon-Venus,square,Moon,Venus,"달과 금성의 스퀘어(90도)는 감정적 필요와 사랑의 표현 사이에 미묘한 불일치를 만듭니다. 서로를 좋아하고 사랑하지만 그 표현 방식이 어긋나 상대방이 원하는 방식으로 사랑을 전달하지 못할 때가 있습니다. 한 사람이 말로 사랑을 표현할 때 다른 사람은 행동을 원하며, 선물로 마음을 전할 때 상대는 시간을 원합니다. 사랑의 언어가 다르다는 것을 인식하면 이 불일치를 극복할 수 있습니다. 미적 취향이나 생활 방식의 차이도 조정이 필요하며, 이 과정에서 서로의 세계를 확장하는 성장이 일어납니다.",72,40,68,62,70,80,"서로의 사랑 언어를 배우는 것이 이 관계의 핵심 과제입니다. 5가지 사랑의 언어(말, 행동, 선물, 시간, 접촉)에 대해 함께 공부하고, 상대가 원하는 방식으로 사랑을 표현하는 연습을 하세요."
